"sheet","source_row","header_row","article","fabric_name","composition","full_width_cm","usable_width_cm","weight_gsm","moq","qty_raw","qty_min","qty_max","color_tier","currency","price","date_raw","remark"
"CENTER PRICE USD for internal","693","13","255640","LUNA TM","100% PA","155 - 165 cm.","150 - 160 cm.","23 - 28 g/m2","3,000m","200-600","200","600","PFE/PFD","THB","0.2030","",""
"CENTER PRICE USD for internal","693","13","255640","LUNA TM","100% PA","155 - 165 cm.","150 - 160 cm.","23 - 28 g/m2","3,000m","200-600","200","600","All_colors","THB","0.2030","",""
"CENTER PRICE USD for internal","694","13","255640","LUNA TM","100% PA","155 - 165 cm.","150 - 160 cm.","23 - 28 g/m2","3,000m","601-2,000","601","2000","PFE/PFD","THB","0.2030","",""
"CENTER PRICE USD for internal","694","13","255640","LUNA TM","100% PA","155 - 165 cm.","150 - 160 cm.","23 - 28 g/m2","3,000m","601-2,000","601","2000","All_colors","THB","0.2030","",""
"ANITA_Thailand & Germany ","220","212","SAF-011AA/67","composition","width(CM) Full","Usable widht (CM)","weight(g/ms2)","5,000 M.","500 M.","205","205","","All_colors","THB","5.95","",""
"ANITA_Thailand & Germany ","225","212","RAY-051AA/67","100% PES","155-165","150-160","128-142","3,000 M","1,000 M.","2.17","2","","All_colors","USD","70922","",""
"ANITA_Thailand & Germany ","229","212","RAY-051AA/67","100% PES","155-165","150-160","128-142","3,000 M","1,000 M.","2.35","2","","All_colors","USD","20425","",""
"ANITA_Thailand & Germany ","232","212","RAY-051AA/67","100% PES","155-165","150-160","128-142","3,000 M","1,000 M.","2.30","2","","All_colors","USD","30425","",""
"ANITA_Thailand & Germany ","236","212","RAY-051AA/67","100% PES","180","Usable widht (CM)","weight(g/ms2)","3,000 M","1,000 M.","","1000","","All_colors","USD","70922","",""
"Aronne Faccio","58","56","254804","ELASTIC TULLE","86% PA, 14% ELASTANE","","142 - 147 cm.","45 - 50 g/m2","","200-600m.","200","600","PFE/PFD","THB","3.00","",""
"Aronne Faccio","58","56","254804","ELASTIC TULLE","86% PA, 14% ELASTANE","","142 - 147 cm.","45 - 50 g/m2","","200-600m.","200","600","All_colors","THB","3.60","",""
"Aronne Faccio","59","56","254804","ELASTIC TULLE","86% PA, 14% ELASTANE","","142 - 147 cm.","45 - 50 g/m2","","601-2,000m.","601","2000","PFE/PFD","THB","2.63","",""
"Aronne Faccio","59","56","254804","ELASTIC TULLE","86% PA, 14% ELASTANE","","142 - 147 cm.","45 - 50 g/m2","","601-2,000m.","601","2000","All_colors","THB","3.17","",""
"Aronne Faccio","60","56","254804","ELASTIC TULLE","86% PA, 14% ELASTANE","","142 - 147 cm.","45 - 50 g/m2","","2,001-5,000m.","2001","5000","PFE/PFD","THB","2.57","",""
"Aronne Faccio","60","56","254804","ELASTIC TULLE","86% PA, 14% ELASTANE","","142 - 147 cm.","45 - 50 g/m2","","2,001-5,000m.","2001","5000","All_colors","THB","3.03","",""
"Aronne Faccio","67","65","254804","PA Power Net Elastic Tuell","86% PA, 14% PUE","","142 - 147 cm.","45 - 50 g/m2","","200-700 m.","200","700","White","THB","3.74","",""
